n_estimators,oob_score,test_rmse,test_r2,training_time_sec
10,0.6947371379270304,0.5331254236152378,0.7831038080291017,0.3465538024902344
50,0.8007242776791019,0.5072454330767726,0.8036506665860602,1.0529627799987793
100,0.8074158009726367,0.5053399773665033,0.8051230593157366,1.4347736835479736
200,0.8099715159400913,0.5039602414072009,0.8061857564039718,2.9229140281677246
300,0.810751795078398,0.5034218492503685,0.8065996475063294,3.8193092346191406
400,0.811840403388216,0.5024459127416069,0.8073487747545508,5.480520009994507
500,0.8121066531321489,0.502199357346373,0.8075378002540319,6.09203839302063
