cf_id,mean_radius,mean_texture,mean_perimeter,mean_area,mean_smoothness,mean_compactness,mean_concavity,mean_concave_points,mean_symmetry,mean_fractal_dimension,radius_error,texture_error,perimeter_error,area_error,smoothness_error,compactness_error,concavity_error,concave_points_error,symmetry_error,fractal_dimension_error,worst_radius,worst_texture,worst_perimeter,worst_area,worst_smoothness,worst_compactness,worst_concavity,worst_concave_points,worst_symmetry,worst_fractal_dimension
0,0.0,-18.63,0.0,0.0,0.0,0.0,0.0,0.0,-0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.71,0.0,-1694.1,-0.05479999999999999,0.0,0.0,-0.1941,0.0,0.0
1,0.0,-18.63,0.0,0.0,0.0,0.0,0.0,0.0,-0.0804,0.0,0.0,0.0,0.0,0.0,-0.00422,0.0,0.0,0.0,0.0,0.0,0.0,-23.71,0.0,-1694.1,-0.05479999999999999,0.0,0.0,-0.1941,0.0,0.0
2,0.0,-15.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005859999999999997,0.0,0.0,0.0,0.0,-0.0006179999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-19.120000000000005,0.0,-1296.6,0.0,0.0,-0.22509999999999997,-0.09409999999999999,0.0,0.0
